STATION,NAME,DATE,AWND,FMTM,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WDF2,WDF5,WESD,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT07,WT08,WT09,WT11,WT13,WT16,WT18,WT19,WT22
USW00024257,"REDDING AIRPORT, CA US",3/25/10,9.4,143,437,0.02,,,,56,40,180,180,0,21,23.9,,,1,,1,,1,,,,1,,,
USW00024257,"REDDING AIRPORT, CA US",3/26/10,2.01,1525,1223,0,,,,63,34,100,180,0,6.9,10.1,,,,,,,,,,,,,,
USW00024257,"REDDING AIRPORT, CA US",3/27/10,3.8,1628,1629,0,,,,70,36,180,180,0,15,17,,,,,,,,,,,,,,
USW00024257,"REDDING AIRPORT, CA US",3/28/10,2.46,2229,2228,0.01,,,,63,46,300,290,0,6.9,8.9,,,,,1,,,,,,1,,,
USW00024257,"REDDING AIRPORT, CA US",3/29/10,20.8,1740,1738,0.2,,,,65,53,180,180,0,38.9,49,,,,,1,,1,,,,1,,,
USW00024257,"REDDING AIRPORT, CA US",3/30/10,11.41,1345,1344,0,,,,57,45,210,210,0,28,36,,,,,,,,,,,1,,,
USW00024257,"REDDING AIRPORT, CA US",3/31/10,4.7,1555,1554,0,,,,52,38,240,240,0,17,23.9,,,,,,,,,,,1,,,
USW00024257,"REDDING AIRPORT, CA US",4/1/10,2.68,1659,1654,0,,,,60,39,220,210,0,14.1,17.9,,,,,,,,,,,,,,
USW00024257,"REDDING AIRPORT, CA US",4/2/10,7.83,1241,1246,0.54,,,,51,38,180,180,0,31.1,38.9,1,,,,1,,,,,1,1,,,
USW00024257,"REDDING AIRPORT, CA US",4/3/10,2.24,1526,1525,0,,,,54,34,160,150,0,8.1,12.1,,,,,1,,,,,,1,,,
USW00024257,"REDDING AIRPORT, CA US",4/4/10,10.96,1530,1543,0.87,,,,49,38,170,180,0,38,48.1,1,,,,1,,,,,1,1,,,
USW00024257,"REDDING AIRPORT, CA US",4/5/10,5.82,1716,1716,0,,,,57,35,210,210,0,19.9,23,1,,,,,,,,,1,1,,,
USW00024257,"REDDING AIRPORT, CA US",4/6/10,3.36,1411,1410,0,,,,63,32,360,360,0,12.1,17.9,,,,,,,,,,,,,,
USW00024257,"REDDING AIRPORT, CA US",4/7/10,7.16,1752,609,0,,,,77,45,170,350,0,15,21.9,,,,,,,,,,,,,,
USW00024257,"REDDING AIRPORT, CA US",4/8/10,9.4,2223,1846,0,,,,67,41,350,350,0,21,29.1,,,,,,,,,,,,,,
USW00024257,"REDDING AIRPORT, CA US",4/9/10,11.41,943,342,0,,,,71,48,360,340,0,19.9,29.1,,,,,,,,,,,,,,
USW00024257,"REDDING AIRPORT, CA US",4/10/10,9.17,1350,1643,0,,,,61,44,150,160,0,29.1,36.9,,,,,,,,,,,1,,,
USW00024257,"REDDING AIRPORT, CA US",4/11/10,5.82,1426,1425,0.69,,,,52,45,160,150,0,21.9,28,1,,,,1,,,,,1,1,,,
USW00024257,"REDDING AIRPORT, CA US",4/12/10,13.65,325,448,0.78,,,,55,45,160,150,0,33.1,40,1,,,,1,,,,,1,1,,,
USW00024257,"REDDING AIRPORT, CA US",4/13/10,4.92,957,956,0.05,,,,60,47,180,180,0,15,17,1,,,,1,,,,,1,1,,,
USW00024257,"REDDING AIRPORT, CA US",4/14/10,3.36,1411,1410,0.53,,,,57,44,230,230,0,23,31.1,1,,1,,1,,,,,1,1,,,
USW00024257,"REDDING AIRPORT, CA US",4/15/10,2.24,802,759,0,,,,68,40,20,10,0,8.9,13,,,,,,,,,,,,,,
USW00024257,"REDDING AIRPORT, CA US",4/16/10,3.36,1527,1309,0,,,,69,45,190,190,0,14.1,23,,,,,,,,,,,,,,
USW00024257,"REDDING AIRPORT, CA US",4/17/10,1.79,1514,1513,0,,,,72,46,220,210,0,8.9,12.1,1,1,,,,,,,,1,,,,
USW00024257,"REDDING AIRPORT, CA US",4/18/10,2.46,1624,1803,0,,,,78,44,150,180,0,10.1,12.1,,,,,,,,,,,,,,
